SMILES,InChIKey,UniProtKB
C(=O)O,BDAGIHXWWSANSR-UHFFFAOYSA-N,O15427
C(=O)C(=O)O,HHLFWLYXYJOTON-UHFFFAOYSA-N,O15427
CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,O15427
CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,O94956
CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,P53985
CC(=O)C(=O)O,LCTONWCANYUPML-UHFFFAOYSA-N,O15427
CC(=O)C(=O)O,LCTONWCANYUPML-UHFFFAOYSA-N,P53985
C(=O)(C(=O)O)O,MUBZPKHOEPUJKR-UHFFFAOYSA-N,O94956
C1=CC(=CN=C1)C(=O)O,PVNIIMVLHYAWGP-UHFFFAOYSA-N,O15427
C1=CC(=CN=C1)C(=O)O,PVNIIMVLHYAWGP-UHFFFAOYSA-N,O94956
C1=CC(=CN=C1)C(=O)O,PVNIIMVLHYAWGP-UHFFFAOYSA-N,P53985
CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,O94956
CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,P53985
C1=CC=C(C=C1)C(=O)O,WPYMKLBDIGXBTP-UHFFFAOYSA-N,O94956
C1=CC=C(C=C1)C(=O)O,WPYMKLBDIGXBTP-UHFFFAOYSA-N,P53985
C1=CC=C(C(=C1)C(=O)O)C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,O94956
C1=CC=C(C(=C1)C(=O)O)O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,O94956
C1=CC=C(C(=C1)C(=O)O)O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,P53985
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,P48039
C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,P07550
C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,P21731
C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,P24557
C=CCN=C=S,ZOJBYZNEUISWFT-UHFFFAOYSA-N,Q8NER1
