PubchemCTD,CID,CanonicalSMILES,InChIKey
C013638,11092,CC(=O)C1=C(C=C(C=C1)OC)O,UILPJVPSNHJFIK-UHFFFAOYSA-N
D006246,3564,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,RERZNCLIYCABFS-UHFFFAOYSA-N
C067527,92427,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Al+3],LIRCFGBNQPWVRY-UHFFFAOYSA-K
C008922,638024,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,MXXWOMGUGJBKIW-YPCIICBESA-N
C059514,445154,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-OWOJBTEDSA-N
D003907,5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N
C017947,443495,[O-][As]=O.[Na+],PTLRDCMBXHILCL-UHFFFAOYSA-M
D008999,5371562,CC(=CC(=O)NC)OP(=O)(OC)OC,KRTSDMXIXPKRQR-AATRIKPKSA-N
C017160,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,KAATUXNTWXVJKI-UHFFFAOYSA-N
C017690,3347,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,NYPJDWWKZLNGGM-UHFFFAOYSA-N
D009638,439260,C1=CC(=C(C=C1C(CN)O)O)O,SFLSHLFXELFNJZ-QMMMGPOBSA-N
D010656,6041,CNCC(C1=CC(=CC=C1)O)O,SONNWYBIRXJNDC-VIFPVBQESA-N
D003042,446220,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,ZPUCINDJVBIVPJ-LJISPDSOSA-N
D008694,10836,CC(CC1=CC=CC=C1)NC,MYWUZJCMWCOHBA-VIFPVBQESA-N
D018967,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,RAPZEAPATHNIPO-UHFFFAOYSA-N
D012969,5235,[F-].[Na+],PUZPDOWCWNUUKD-UHFFFAOYSA-M
D015741,261000,CC1(CCC2C1(C=CC3=C4CCC(=O)C=C4CCC23)C)O,CCCIJQPRIXGQOE-XWSJACJDSA-N
D001151,5359596,[As],RQNWIZPPADIBDY-UHFFFAOYSA-N
C018824,517165,CC(=O)[O-].[NH4+],USFZMSVCRYTOJT-UHFFFAOYSA-N
C409045,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N
D020280,68617,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N
D006247,5280953,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,BXNJHAXVSOCGBA-UHFFFAOYSA-N
D002395,189460,C1=CC(=C(C(=C1)O)O)N,MGBKJKDRMRAZKC-UHFFFAOYSA-N
D004006,3039,COP(=O)(OC)OC=C(Cl)Cl,OEBRKCOSUFCWJD-UHFFFAOYSA-N
D008743,4130,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],RLBIQVVOMOPOHC-UHFFFAOYSA-N
D014439,5610,C1=CC(=CC=C1CCN)O,DZGWFCGJZKJUFP-UHFFFAOYSA-N
D012701,5202,C1=CC2=C(C=C1O)C(=CN2)CCN,QZAYGJVTTNCVMB-UHFFFAOYSA-N
C019132,5284474,CC1=C2C(=C(N=C1N)C)C3=CC=CC=C3N2,LVTKHGUGBGNBPL-UHFFFAOYSA-N
C019133,5284476,CC1=C2C3=CC=CC=C3NC2=CC(=N1)N,LKKMLIBUAXYLOY-UHFFFAOYSA-N
C423264,208907,CCN(C)C(=O)OC1=CC2=C(CCC2NCC#C)C=C1,LHXOCOHMBFOVJS-OAHLLOKOSA-N
C492672,9885178,COCC1C2CCC3=C(N2C(=O)O1)C=CC(=C3)OCCCC(F)(F)F,JRCKGKSHLTZMIE-UHFFFAOYSA-N
C039776,7054,C1=CC=C2C(=C1)C(=O)C(=O)N2,JXDYKVIHCLTXOP-UHFFFAOYSA-N
D009002,6061,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N
C570530,53378764,CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1CN(C)CC#C,ADCBAOTWERXLAP-UHFFFAOYSA-N
D010707,3032604,CCN(CC)C(=O)C(=C(C)OP(=O)(OC)OC)Cl,RGCLLPNLLBQHPF-HJWRWDBZSA-N
D003010,4380,CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C,BTFHLQRNAMSNLC-UHFFFAOYSA-N
D010293,4688,CN(CC#C)CC1=CC=CC=C1,DPWPWRLQFGFJFI-UHFFFAOYSA-N
D010665,10297,CC(C(C1=CC=CC=C1)O)N,DLNKOYKMWOXYQA-CBAPKCEASA-N
C551866,18687754,C1=CC2=C(C=C1OCC(F)(F)F)OC3=C(S2(=O)=O)C=CC(=C3)F,PDIMOTRDGUQMNY-UHFFFAOYSA-N
C090014,60824,COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCCC(C(F)(F)F)O,IALVDLPLCLFBCF-CHWSQXEVSA-N
C038213,44571,COC1=CC(=C2C(=C1)C=C(O2)C3CCNCC3)Br,WZXHSWVDAYOFPE-UHFFFAOYSA-N
C026234,52542,COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCC3=CC(=CC=C3)C#N,MVVJINIUPYKZHR-UHFFFAOYSA-N
C010798,34521,CC1=CC(=CC=C1)N2CC(OC2=O)CO,MXUNKHLAEDCYJL-UHFFFAOYSA-N
D020912,4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,YHXISWVBGDMDLQ-UHFFFAOYSA-N
D008676,21100,CNCC(C1=CC(=C(C=C1)O)OC)O,JWJCTZKFYGDABJ-UHFFFAOYSA-N
D011344,4915,CC(C)NC(=O)C1=CC=C(C=C1)CNNC,CPTBDICYNRMXFX-UHFFFAOYSA-N
